adj_close,adjustment_basis,available_at,exchange,raw_close,raw_high,raw_low,raw_open,security_id,ticker,trade_date,traded_value,trading_status,volume
20000.0,synthetic,2024-01-01T17:00:00+07:00,HOSE,20000.0,20200.0,19800.0,20000.0,SYNTHETIC-00,SYN00,2024-01-01,2000000000.0,normal,100000
20039.3522,synthetic,2024-01-02T17:00:00+07:00,HOSE,20039.3522,20239.745722,19838.958678000003,20039.3522,SYNTHETIC-00,SYN00,2024-01-02,2003935220.0,normal,100000
20078.4808,synthetic,2024-01-03T17:00:00+07:00,HOSE,20078.4808,20279.265608,19877.695992,20078.4808,SYNTHETIC-00,SYN00,2024-01-03,2007848080.0,normal,100000
20117.085,synthetic,2024-01-04T17:00:00+07:00,HOSE,20117.085,20318.255849999998,19915.91415,20117.085,SYNTHETIC-00,SYN00,2024-01-04,2011708500.0,normal,100000
20154.8666,synthetic,2024-01-05T17:00:00+07:00,HOSE,20154.8666,20356.415266,19953.317934000002,20154.8666,SYNTHETIC-00,SYN00,2024-01-05,2015486660.0000002,normal,100000
20191.5329,synthetic,2024-01-08T17:00:00+07:00,HOSE,20191.5329,20393.448228999998,19989.617571,20191.5329,SYNTHETIC-00,SYN00,2024-01-08,2019153289.9999998,normal,100000
20226.799,synthetic,2024-01-09T17:00:00+07:00,HOSE,20226.799,20429.06699,20024.53101,20226.799,SYNTHETIC-00,SYN00,2024-01-09,2022679900.0,normal,100000
20260.3904,synthetic,2024-01-10T17:00:00+07:00,HOSE,20260.3904,20462.994304,20057.786496,20260.3904,SYNTHETIC-00,SYN00,2024-01-10,2026039040.0,normal,100000
20292.0457,synthetic,2024-01-11T17:00:00+07:00,HOSE,20292.0457,20494.966157,20089.125243,20292.0457,SYNTHETIC-00,SYN00,2024-01-11,2029204569.9999998,normal,100000
20321.5187,synthetic,2024-01-12T17:00:00+07:00,HOSE,20321.5187,20524.733887000002,20118.303513,20321.5187,SYNTHETIC-00,SYN00,2024-01-12,2032151870.0,normal,100000
20348.5811,synthetic,2024-01-15T17:00:00+07:00,HOSE,20348.5811,20552.066910999998,20145.095289,20348.5811,SYNTHETIC-00,SYN00,2024-01-15,2034858110.0,normal,100000
20373.0244,synthetic,2024-01-16T17:00:00+07:00,HOSE,20373.0244,20576.754643999997,20169.294156,20373.0244,SYNTHETIC-00,SYN00,2024-01-16,2037302439.9999998,normal,100000
20394.6623,synthetic,2024-01-17T17:00:00+07:00,HOSE,20394.6623,20598.608923,20190.715677,20394.6623,SYNTHETIC-00,SYN00,2024-01-17,2039466230.0,normal,100000
20413.332,synthetic,2024-01-18T17:00:00+07:00,HOSE,20413.332,20617.46532,20209.198679999998,20413.332,SYNTHETIC-00,SYN00,2024-01-18,2041333199.9999998,normal,100000
20428.8962,synthetic,2024-01-19T17:00:00+07:00,HOSE,20428.8962,20633.185161999998,20224.607238,20428.8962,SYNTHETIC-00,SYN00,2024-01-19,2042889620.0,normal,100000
20441.2446,synthetic,2024-01-22T17:00:00+07:00,HOSE,20441.2446,20645.657046,20236.832154000003,20441.2446,SYNTHETIC-00,SYN00,2024-01-22,2044124460.0000002,normal,100000
20450.2945,synthetic,2024-01-23T17:00:00+07:00,HOSE,20450.2945,20654.797445,20245.791555,20450.2945,SYNTHETIC-00,SYN00,2024-01-23,2045029450.0,normal,100000
20455.9921,synthetic,2024-01-24T17:00:00+07:00,HOSE,20455.9921,20660.552021,20251.432179,20455.9921,SYNTHETIC-00,SYN00,2024-01-24,2045599210.0,normal,100000
20458.3129,synthetic,2024-01-25T17:00:00+07:00,HOSE,20458.3129,20662.896029,20253.729771000002,20458.3129,SYNTHETIC-00,SYN00,2024-01-25,2045831290.0,normal,100000
20457.2619,synthetic,2024-01-26T17:00:00+07:00,HOSE,20457.2619,20661.834519,20252.689281000003,20457.2619,SYNTHETIC-00,SYN00,2024-01-26,2045726190.0000002,normal,100000
20452.8736,synthetic,2024-01-29T17:00:00+07:00,HOSE,20452.8736,20657.402336,20248.344864,20452.8736,SYNTHETIC-00,SYN00,2024-01-29,2045287360.0,normal,100000
20445.2118,synthetic,2024-01-30T17:00:00+07:00,HOSE,20445.2118,20649.663918000002,20240.759682,20445.2118,SYNTHETIC-00,SYN00,2024-01-30,2044521180.0,normal,100000
20434.3687,synthetic,2024-01-31T17:00:00+07:00,HOSE,20434.3687,20638.712387,20230.025013,20434.3687,SYNTHETIC-00,SYN00,2024-01-31,2043436870.0,normal,100000
20420.464,synthetic,2024-02-01T17:00:00+07:00,HOSE,20420.464,20624.66864,20216.25936,20420.464,SYNTHETIC-00,SYN00,2024-02-01,2042046400.0,normal,100000
20403.6441,synthetic,2024-02-02T17:00:00+07:00,HOSE,20403.6441,20607.680541,20199.607659,20403.6441,SYNTHETIC-00,SYN00,2024-02-02,2040364410.0000002,normal,100000
20384.0801,synthetic,2024-02-05T17:00:00+07:00,HOSE,20384.0801,20587.920900999998,20180.239299,20384.0801,SYNTHETIC-00,SYN00,2024-02-05,2038408010.0,normal,100000
20361.9665,synthetic,2024-02-06T17:00:00+07:00,HOSE,20361.9665,20565.586164999997,20158.346835,20361.9665,SYNTHETIC-00,SYN00,2024-02-06,2036196649.9999998,normal,100000
20337.5192,synthetic,2024-02-07T17:00:00+07:00,HOSE,20337.5192,20540.894392,20134.144008,20337.5192,SYNTHETIC-00,SYN00,2024-02-07,2033751920.0,normal,100000
20310.9732,synthetic,2024-02-08T17:00:00+07:00,HOSE,20310.9732,20514.082932,20107.863468,20310.9732,SYNTHETIC-00,SYN00,2024-02-08,2031097320.0,normal,100000
20282.5808,synthetic,2024-02-09T17:00:00+07:00,HOSE,20282.5808,20485.406608,20079.754992,20282.5808,SYNTHETIC-00,SYN00,2024-02-09,2028258080.0,normal,100000
20252.609,synthetic,2024-02-12T17:00:00+07:00,HOSE,20252.609,20455.13509,20050.08291,20252.609,SYNTHETIC-00,SYN00,2024-02-12,2025260900.0,normal,100000
20221.3368,synthetic,2024-02-13T17:00:00+07:00,HOSE,20221.3368,20423.550168,20019.123432,20221.3368,SYNTHETIC-00,SYN00,2024-02-13,2022133680.0,normal,100000
20189.053,synthetic,2024-02-14T17:00:00+07:00,HOSE,20189.053,20390.94353,19987.16247,20189.053,SYNTHETIC-00,SYN00,2024-02-14,2018905300.0,normal,100000
20156.0537,synthetic,2024-02-15T17:00:00+07:00,HOSE,20156.0537,20357.614237,19954.493163,20156.0537,SYNTHETIC-00,SYN00,2024-02-15,2015605370.0,normal,100000
20122.6392,synthetic,2024-02-16T17:00:00+07:00,HOSE,20122.6392,20323.865592000002,19921.412808,20122.6392,SYNTHETIC-00,SYN00,2024-02-16,2012263920.0000002,normal,100000
20089.1121,synthetic,2024-02-19T17:00:00+07:00,HOSE,20089.1121,20290.003221,19888.220978999998,20089.1121,SYNTHETIC-00,SYN00,2024-02-19,2008911209.9999998,normal,100000
20055.774,synthetic,2024-02-20T17:00:00+07:00,HOSE,20055.774,20256.33174,19855.21626,20055.774,SYNTHETIC-00,SYN00,2024-02-20,2005577400.0000002,normal,100000
20022.9237,synthetic,2024-02-21T17:00:00+07:00,HOSE,20022.9237,20223.152937,19822.694463,20022.9237,SYNTHETIC-00,SYN00,2024-02-21,2002292370.0,normal,100000
19990.8544,synthetic,2024-02-22T17:00:00+07:00,HOSE,19990.8544,20190.762944000002,19790.945856,19990.8544,SYNTHETIC-00,SYN00,2024-02-22,1999085440.0,normal,100000
19959.8514,synthetic,2024-02-23T17:00:00+07:00,HOSE,19959.8514,20159.449914,19760.252886,19959.8514,SYNTHETIC-00,SYN00,2024-02-23,1995985140.0,normal,100000
19930.1901,synthetic,2024-02-26T17:00:00+07:00,HOSE,19930.1901,20129.492001,19730.888199,19930.1901,SYNTHETIC-00,SYN00,2024-02-26,1993019010.0,normal,100000
19902.1337,synthetic,2024-02-27T17:00:00+07:00,HOSE,19902.1337,20101.155037,19703.112362999997,19902.1337,SYNTHETIC-00,SYN00,2024-02-27,1990213369.9999998,normal,100000
